Date,Open,High,Low,Close,Volume,MA20,MA50,RSI,VWAP,CMF,CCI,ADX,OBV,V_Pattern,Outcome,LR,HR,CR
2010-03-16,32.61000061035156,32.810001373291016,32.349998474121094,32.54999923706055,13690400.0,0.008871676197232697,0.003663859584351087,0.8100008954907086,0.0,0.8099336516928447,0.6849066094318046,0.7173973083546051,0.11519780717870723,0,0,,,
2010-03-17,32.4900016784668,32.63999938964844,32.34000015258789,32.52000045776367,14730700.0,0.009200890836045139,0.003872587918374873,0.800525234081573,0.0006158707402077468,0.7622713988148601,0.6627537104773471,0.7377360204429542,0.10357979464147199,0,0,-0.004608341916890695,0.009831020040697136,0.09431642908700287
2010-03-18,32.45000076293945,32.560001373291016,32.22999954223633,32.400001525878906,17763500.0,0.00947743143405258,0.004063425361655645,0.7616684658538583,0.0013012593320143595,0.7226390762944328,0.6355837027538088,0.7478022297993355,0.08956983138750729,0,0,-0.006765105092444823,0.011070129313777967,0.08548581611822183
2010-03-19,32.36000061035156,32.56999969482422,32.099998474121094,32.36000061035156,22430600.0,0.009768457305371611,0.004257515581354593,0.7484489943650893,0.0021154749059492106,0.7540333370270703,0.6182514464890788,0.7469438130600314,0.07187895505320488,0,0,-0.008024756913137698,0.013888911782304185,0.10833327642684389
2010-03-22,32.13999938964844,32.790000915527344,32.13999938964844,32.66999816894531,11737300.0,0.010077918864918628,0.0044499792060300886,0.7897141994992549,0.002573598212376571,0.7996462879155871,0.6383101541500784,0.7516304401470175,0.0811360914115104,0,0,-0.0012361222117699205,0.020704634456287768,0.10135966370308547
2010-03-23,32.59000015258789,32.630001068115234,32.27000045776367,32.59000015258789,11511400.0,0.010320220859178247,0.004645695917345288,0.7622071895352291,0.0029993774872940637,0.8093111798138752,0.6202109074579146,0.755982308156362,0.07205712099454925,0,0,-0.01499852176094002,0.00673404447607985,0.08111422327528267
2010-03-24,32.439998626708984,32.599998474121094,32.2400016784668,32.31999969482422,11804400.0,0.010446639159920237,0.00487123091777511,0.6739762538526364,0.0033837600461085193,0.7161814601491744,0.5900736294270623,0.7574296258838705,0.06274706327872182,0,0,-0.010432652684749744,0.011353260044481782,0.046640087469989544
2010-03-25,32.5,32.91999816894531,32.459999084472656,32.619998931884766,12956600.0,0.010612563116851353,0.005122789163622091,0.7210170166708503,0.0038440460739260773,0.6682267613246503,0.6307697470420255,0.7669247810452492,0.07296585405172931,0,0,-0.012376284952223041,0.01299499297373359,0.028774762189268
2010-03-26,32.66999816894531,32.97999954223633,32.630001068115234,32.75,12346300.0,0.010816676092446728,0.0053732631851320795,0.7399133519483158,0.004291137898023933,0.6428766116423461,0.6425838481479194,0.777133309931687,0.08270330496638154,0,0,-0.017473933583335176,0.009503414575161174,0.08031890963739675
2010-03-29,32.779998779296875,32.88999938964844,32.5,32.599998474121094,8929400.0,0.010970748302286948,0.005606388272956772,0.6911274632372079,0.0045906099817680235,0.6021338024965122,0.6105031632908703,0.775024704104104,0.07566074207731391,0,0,-0.02076336809697042,0.006106893524868798,0.08702297065094228
2010-03-30,32.560001373291016,32.880001068115234,32.5,32.689998626708984,8666400.0,0.011145890228917502,0.005829754617898225,0.7060136941087346,0.004885599566557819,0.6254444715959208,0.6107895560395624,0.773066712978491,0.0824958784830988,0,0,-0.01411051903990384,0.012883380018521176,0.10214718319698325
